order_id,product_id,quantity,unit_price,line_total
297119,8,3,3.30,9.90
297119,14,2,8.60,17.20
297119,26,5,9.32,46.60
297119,28,3,7.37,22.11
308528,31,4,6.62,26.48
328164,2,3,0.94,2.82
328164,9,4,1.13,4.52
328164,26,1,9.32,9.32
345928,3,1,4.42,4.42
345928,13,3,5.80,17.40
345928,20,5,9.90,49.50
345928,21,4,4.46,17.84
355013,3,1,4.42,4.42
355013,18,4,9.45,37.80
355013,30,2,2.70,5.40
361808,2,3,0.94,2.82
361808,19,3,8.89,26.67
361808,35,2,5.48,10.96
368746,8,4,3.30,13.20
368746,34,2,5.51,11.02
368746,36,4,2.86,11.44
387005,11,3,7.45,22.35
387005,13,4,5.80,23.20
392504,1,5,6.83,34.15
392504,2,2,0.94,1.88
392504,18,3,9.45,28.35
399542,16,1,5.68,5.68
399542,18,5,9.45,47.25
399542,26,3,9.32,27.96
399542,36,4,2.86,11.44
413700,1,2,6.83,13.66
413700,7,3,1.92,5.76
413700,11,5,7.45,37.25
413700,15,3,5.78,17.34
413700,19,5,8.89,44.45
418729,3,3,4.42,13.26
418729,25,3,6.89,20.67
420061,9,2,1.13,2.26
428789,7,1,1.92,1.92
428789,10,3,9.07,27.21
428789,15,5,5.78,28.90
428789,19,3,8.89,26.67
428789,29,1,1.31,1.31
428960,20,3,9.90,29.70
430047,12,1,6.64,6.64
430047,14,4,8.60,34.40
430047,32,4,3.05,12.20
440309,10,2,9.07,18.14
461088,2,1,0.94,0.94
464164,16,2,5.68,11.36
464164,27,3,8.49,25.47
464164,30,2,2.70,5.40
464164,32,2,3.05,6.10
477758,10,2,9.07,18.14
477758,26,1,9.32,9.32
477758,28,1,7.37,7.37
477758,29,4,1.31,5.24
484103,10,2,9.07,18.14
484103,28,5,7.37,36.85
484103,34,5,5.51,27.55
485791,1,2,6.83,13.66
485791,13,1,5.80,5.80
485791,15,1,5.78,5.78
485791,24,5,6.00,30.00
508531,36,3,2.86,8.58
512772,10,3,9.07,27.21
512772,16,4,5.68,22.72
512772,19,2,8.89,17.78
512772,24,5,6.00,30.00
522802,4,4,3.41,13.64
522802,27,3,8.49,25.47
522802,36,2,2.86,5.72
524314,20,2,9.90,19.80
524314,22,3,0.94,2.82
539276,1,4,6.83,27.32
539276,10,2,9.07,18.14
539276,12,4,6.64,26.56
539276,28,5,7.37,36.85
545770,10,2,9.07,18.14
545770,28,3,7.37,22.11
547927,4,3,3.41,10.23
547927,6,5,0.96,4.80
547927,7,5,1.92,9.60
547927,30,1,2.70,2.70
547927,36,2,2.86,5.72
553384,26,3,9.32,27.96
553384,33,1,2.00,2.00
567264,6,5,0.96,4.80
567264,23,3,4.55,13.65
567264,26,4,9.32,37.28
567264,31,4,6.62,26.48
570726,10,2,9.07,18.14
570726,23,2,4.55,9.10
570726,31,1,6.62,6.62
571196,7,3,1.92,5.76
571196,19,1,8.89,8.89
571196,23,0,4.55,0.00
571196,24,2,6.00,12.00
600773,21,5,4.46,22.30
600773,31,5,6.62,33.10
612069,6,4,0.96,3.84
612069,13,3,5.80,17.40
612069,14,5,8.60,43.00
612069,24,5,6.00,30.00
612069,32,2,3.05,6.10
635792,1,5,6.83,34.15
635792,9,4,1.13,4.52
635792,18,5,9.45,47.25
635792,30,1,2.70,2.70
647491,4,4,3.41,13.64
647491,21,1,4.46,4.46
647491,35,1,5.48,5.48
651375,7,4,1.92,7.68
651375,12,3,6.64,19.92
651375,18,5,9.45,47.25
651375,26,1,9.32,9.32
651375,34,4,5.51,22.04
664507,4,2,3.41,6.82
664507,6,4,0.96,3.84
664507,11,4,7.45,29.80
664507,21,5,4.46,22.30
664507,24,1,6.00,6.00
695679,36,1,2.86,2.86
696956,2,1,0.94,0.94
696956,29,2,1.31,2.62
696956,36,4,2.86,11.44
734601,1,1,6.83,6.83
734601,26,1,9.32,9.32
734601,29,3,1.31,3.93
736758,1,5,6.83,34.15
736758,34,3,5.51,16.53
743723,3,2,4.42,8.84
743723,7,5,1.92,9.60
743723,9,5,1.13,5.65
743723,11,2,7.45,14.90
752259,10,3,9.07,27.21
752259,14,2,8.60,17.20
752259,19,2,8.89,17.78
755492,7,1,1.92,1.92
755492,10,1,9.07,9.07
755492,27,5,8.49,42.45
761394,18,4,9.45,37.80
761394,21,3,4.46,13.38
775579,18,4,9.45,37.80
775579,27,5,8.49,42.45
775579,31,5,6.62,33.10
785620,3,1,4.42,4.42
785620,16,4,5.68,22.72
785620,30,5,2.70,13.50
792643,3,3,4.42,13.26
792643,10,5,9.07,45.35
792643,11,1,7.45,7.45
792643,29,1,1.31,1.31
794559,7,3,1.92,5.76
794559,14,5,8.60,43.00
794559,15,3,5.78,17.34
794559,17,3,3.71,11.13
796619,14,3,8.60,25.80
801090,4,2,3.41,6.82
801090,6,4,0.96,3.84
801090,27,2,8.49,16.98
801090,32,3,3.05,9.15
814856,9,1,1.13,1.13
814856,22,1,0.94,0.94
823445,6,1,0.96,0.96
823445,8,2,3.30,6.60
823445,15,1,5.78,5.78
823445,16,5,5.68,28.40
837507,10,1,9.07,9.07
837507,28,2,7.37,14.74
837507,31,4,6.62,26.48
837558,1,5,6.83,34.15
837558,8,4,3.30,13.20
837558,10,2,9.07,18.14
837558,25,2,6.89,13.78
843197,3,2,4.42,8.84
843197,12,3,6.64,19.92
843197,21,1,4.46,4.46
845411,31,2,6.62,13.24
873301,21,5,4.46,22.30
887034,10,2,9.07,18.14
887034,29,1,1.31,1.31
887034,31,5,6.62,33.10
887034,35,1,5.48,5.48
908226,36,4,2.86,11.44
934436,3,1,4.42,4.42
934436,5,3,1.92,5.76
934436,6,3,0.96,2.88
934436,23,2,4.55,9.10
934436,36,3,2.86,8.58
940170,4,2,3.41,6.82
940170,12,4,6.64,26.56
950752,23,3,4.55,13.65
950752,25,2,6.89,13.78
950752,33,5,2.00,10.00
970154,5,2,1.92,3.84
970154,14,3,8.60,25.80
970154,26,1,9.32,9.32
970154,35,1,5.48,5.48
982441,9,1,1.13,1.13
982441,22,2,0.94,1.88
982441,27,2,8.49,16.98
986700,7,2,1.92,3.84
1033036,13,2,5.80,11.60
1033036,18,4,9.45,37.80
1033036,21,5,4.46,22.30
1033036,22,3,0.94,2.82
1033036,24,1,6.00,6.00
1036537,29,4,1.31,5.24
1039703,1,5,6.83,34.15
1039703,19,1,8.89,8.89
1059864,2,0,0.94,0.00
1059864,28,4,7.37,29.48
1059864,32,4,3.05,12.20
1074165,5,2,1.92,3.84
1074165,15,3,5.78,17.34
1074165,20,2,9.90,19.80
1074165,24,5,6.00,30.00
1086271,5,3,1.92,5.76
1096330,26,2,9.32,18.64
1096330,27,5,8.49,42.45
1111002,6,5,0.96,4.80
1111002,7,3,1.92,5.76
1111002,13,2,5.80,11.60
1111002,32,3,3.05,9.15
1122970,8,4,3.30,13.20
1139384,10,4,9.07,36.28
1139384,34,5,5.51,27.55
1141320,15,2,5.78,11.56
1166642,28,3,7.37,22.11
1175003,7,2,1.92,3.84
1175003,9,4,1.13,4.52
1175003,12,3,6.64,19.92
1175003,18,1,9.45,9.45
1175003,26,2,9.32,18.64
1182388,19,5,8.89,44.45
1182388,23,3,4.55,13.65
1182417,7,4,1.92,7.68
1182417,35,4,5.48,21.92
1232094,4,1,3.41,3.41
1232094,21,3,4.46,13.38
1232094,31,1,6.62,6.62
1232094,36,5,2.86,14.30
1241115,14,5,8.60,43.00
1244648,6,3,0.96,2.88
1246691,2,4,0.94,3.76
1246691,19,5,8.89,44.45
1246691,23,1,4.55,4.55
1246691,35,5,5.48,27.40
1248720,6,3,0.96,2.88
1248720,8,3,3.30,9.90
1296998,2,2,0.94,1.88
1296998,4,4,3.41,13.64
1296998,30,4,2.70,10.80
1301151,7,5,1.92,9.60
1301151,12,4,6.64,26.56
1303828,1,1,6.83,6.83
1303828,4,3,3.41,10.23
1303828,9,4,1.13,4.52
1303828,19,2,8.89,17.78
1303828,34,1,5.51,5.51
1324149,8,1,3.30,3.30
1324149,13,5,5.80,29.00
1324149,15,2,5.78,11.56
1324149,19,2,8.89,17.78
1330853,7,3,1.92,5.76
1330853,9,3,1.13,3.39
1330853,13,2,5.80,11.60
1330853,35,5,5.48,27.40
1340264,34,5,5.51,27.55
1343221,11,1,7.45,7.45
1343221,17,2,3.71,7.42
1343221,20,4,9.90,39.60
1350220,1,5,6.83,34.15
1350220,7,1,1.92,1.92
1350220,12,2,6.64,13.28
1350220,30,4,2.70,10.80
1350220,33,1,2.00,2.00
1357256,26,1,9.32,9.32
1370790,9,3,1.13,3.39
1370790,18,4,9.45,37.80
1370790,32,4,3.05,12.20
1370790,35,4,5.48,21.92
1402271,14,1,8.60,8.60
1402271,35,3,5.48,16.44
1402271,36,2,2.86,5.72
1419850,1,4,6.83,27.32
1419850,24,4,6.00,24.00
1421196,26,3,9.32,27.96
1421196,36,3,2.86,8.58
1423423,4,5,3.41,17.05
1431729,6,3,0.96,2.88
1432019,14,2,8.60,17.20
1432019,16,3,5.68,17.04
1432019,34,2,5.51,11.02
1488975,11,1,7.45,7.45
1488975,29,4,1.31,5.24
1490343,13,4,5.80,23.20
1493514,29,3,1.31,3.93
1500262,1,2,6.83,13.66
1500262,20,4,9.90,39.60
1500262,29,5,1.31,6.55
1508543,17,3,3.71,11.13
1508543,23,3,4.55,13.65
1508543,31,5,6.62,33.10
1522749,6,3,0.96,2.88
1522749,13,5,5.80,29.00
1522749,28,2,7.37,14.74
1522749,29,2,1.31,2.62
1532921,35,5,5.48,27.40
1547560,9,2,1.13,2.26
1547560,26,4,9.32,37.28
1557066,11,3,7.45,22.35
1557066,14,1,8.60,8.60
1557066,28,1,7.37,7.37
1559367,1,5,6.83,34.15
1559367,19,3,8.89,26.67
1573801,21,2,4.46,8.92
1579073,3,3,4.42,13.26
1579073,17,3,3.71,11.13
1579073,20,3,9.90,29.70
1592259,4,5,3.41,17.05
1605399,4,4,3.41,13.64
1605399,18,4,9.45,37.80
1625376,1,5,6.83,34.15
1625376,7,5,1.92,9.60
1625376,8,1,3.30,3.30
1625376,24,5,6.00,30.00
1625376,25,3,6.89,20.67
1633942,8,3,3.30,9.90
1633942,9,5,1.13,5.65
1633942,31,5,6.62,33.10
1633942,34,5,5.51,27.55
1634776,13,2,5.80,11.60
1634776,32,4,3.05,12.20
1637063,6,4,0.96,3.84
1637063,20,4,9.90,39.60
1638980,10,5,9.07,45.35
1638980,19,2,8.89,17.78
1646486,13,3,5.80,17.40
1646486,24,3,6.00,18.00
1646486,30,4,2.70,10.80
1646486,32,4,3.05,12.20
1668026,19,1,8.89,8.89
1692948,10,5,9.07,45.35
1692948,13,2,5.80,11.60
1692948,21,5,4.46,22.30
1696697,7,1,1.92,1.92
1707108,31,4,6.62,26.48
1713610,6,3,0.96,2.88
1713610,29,4,1.31,5.24
1713610,36,4,2.86,11.44
1715000,2,1,0.94,0.94
1715000,3,5,4.42,22.10
1715000,5,5,1.92,9.60
1715000,18,2,9.45,18.90
1728258,9,1,1.13,1.13
1728258,10,3,9.07,27.21
1728258,14,5,8.60,43.00
1728258,28,5,7.37,36.85
1745158,2,3,0.94,2.82
1745158,14,4,8.60,34.40
1745158,21,5,4.46,22.30
1751860,1,3,6.83,20.49
1751860,2,4,0.94,3.76
1751860,8,2,3.30,6.60
1751860,34,5,5.51,27.55
1766128,1,3,6.83,20.49
1766128,16,1,5.68,5.68
1772889,9,1,1.13,1.13
1775603,17,1,3.71,3.71
1775603,31,5,6.62,33.10
1779159,15,1,5.78,5.78
1779159,17,2,3.71,7.42
1779159,18,1,9.45,9.45
1779159,27,5,8.49,42.45
1781528,23,5,4.55,22.75
1790344,16,2,5.68,11.36
1808392,3,2,4.42,8.84
1810047,5,2,1.92,3.84
1820344,3,3,4.42,13.26
1820344,12,1,6.64,6.64
1820986,26,5,9.32,46.60
1820986,31,3,6.62,19.86
1825247,8,4,3.30,13.20
1825247,18,4,9.45,37.80
1825247,22,4,0.94,3.76
1825247,36,1,2.86,2.86
1826250,2,4,0.94,3.76
1826250,13,5,5.80,29.00
1826250,29,1,1.31,1.31
1851886,27,1,8.49,8.49
1851886,33,5,2.00,10.00
1857866,4,2,3.41,6.82
1857866,16,4,5.68,22.72
1857866,25,5,6.89,34.45
1857866,26,5,9.32,46.60
1857897,16,2,5.68,11.36
1860266,6,2,0.96,1.92
1860266,24,4,6.00,24.00
1880384,11,2,7.45,14.90
1880384,32,3,3.05,9.15
1897176,12,5,6.64,33.20
1897176,31,3,6.62,19.86
1898060,2,0,0.94,0.00
1898060,3,3,4.42,13.26
1898060,23,2,4.55,9.10
1898060,25,1,6.89,6.89
1898060,26,1,9.32,9.32
1900068,29,1,1.31,1.31
1900068,32,4,3.05,12.20
1901047,6,4,0.96,3.84
1907417,15,2,5.78,11.56
1907417,20,1,9.90,9.90
1907417,22,1,0.94,0.94
1924407,25,3,6.89,20.67
1924407,30,5,2.70,13.50
1943808,19,1,8.89,8.89
1943808,23,3,4.55,13.65
1959440,11,4,7.45,29.80
1959440,21,5,4.46,22.30
1959440,33,4,2.00,8.00
1959440,35,2,5.48,10.96
1963765,4,2,3.41,6.82
1963765,28,1,7.37,7.37
1970454,5,5,1.92,9.60
1970454,6,2,0.96,1.92
1970454,15,4,5.78,23.12
1970454,30,3,2.70,8.10
1984341,33,4,2.00,8.00
1991370,7,3,1.92,5.76
1991370,16,1,5.68,5.68
1996812,1,1,6.83,6.83
1996812,32,5,3.05,15.25
1999809,35,4,5.48,21.92
1999809,36,1,2.86,2.86
2009817,9,3,1.13,3.39
2009817,11,2,7.45,14.90
2009817,17,2,3.71,7.42
2009817,24,3,6.00,18.00
2009817,27,4,8.49,33.96
2026972,7,5,1.92,9.60
2026972,16,1,5.68,5.68
2026972,29,4,1.31,5.24
2032808,28,4,7.37,29.48
2034722,2,3,0.94,2.82
2034722,14,4,8.60,34.40
2034722,32,1,3.05,3.05
2038949,18,5,9.45,47.25
2078908,2,3,0.94,2.82
2078908,6,4,0.96,3.84
2078908,10,3,9.07,27.21
2078908,30,5,2.70,13.50
2078908,35,1,5.48,5.48
2080821,6,5,0.96,4.80
2080821,26,1,9.32,9.32
2080821,36,5,2.86,14.30
2082098,19,3,8.89,26.67
2084454,14,5,8.60,43.00
2084454,24,3,6.00,18.00
2084454,26,3,9.32,27.96
2084454,30,4,2.70,10.80
2105339,2,1,0.94,0.94
2105339,6,5,0.96,4.80
2105339,12,2,6.64,13.28
2105339,24,3,6.00,18.00
2118947,14,5,8.60,43.00
2118947,26,2,9.32,18.64
2120572,2,5,0.94,4.70
2120572,31,5,6.62,33.10
2146426,30,2,2.70,5.40
2146426,35,3,5.48,16.44
2155701,22,0,0.94,0.00
2158534,21,2,4.46,8.92
2158534,33,5,2.00,10.00
2178057,8,1,3.30,3.30
2178057,12,1,6.64,6.64
2187744,17,5,3.71,18.55
2187744,30,2,2.70,5.40
2194952,8,3,3.30,9.90
2194952,13,1,5.80,5.80
2202023,17,1,3.71,3.71
2212514,21,2,4.46,8.92
2212514,28,5,7.37,36.85
2214243,3,4,4.42,17.68
2214243,21,4,4.46,17.84
2214243,34,4,5.51,22.04
2218066,9,4,1.13,4.52
2218066,19,3,8.89,26.67
2226910,6,3,0.96,2.88
2226910,12,3,6.64,19.92
2226910,13,2,5.80,11.60
2236005,12,1,6.64,6.64
2236005,14,4,8.60,34.40
2236005,16,3,5.68,17.04
2236005,19,2,8.89,17.78
2236496,8,3,3.30,9.90
2236496,18,5,9.45,47.25
2236496,26,3,9.32,27.96
2246239,14,1,8.60,8.60
2246239,19,5,8.89,44.45
2263908,4,3,3.41,10.23
2263908,9,4,1.13,4.52
2263908,17,4,3.71,14.84
2281576,4,4,3.41,13.64
2281576,17,4,3.71,14.84
2289897,13,5,5.80,29.00
2289897,17,3,3.71,11.13
2289897,26,3,9.32,27.96
2289897,35,5,5.48,27.40
2293217,2,4,0.94,3.76
2293217,25,5,6.89,34.45
2293217,33,3,2.00,6.00
2295761,11,2,7.45,14.90
2295761,12,3,6.64,19.92
2295761,16,5,5.68,28.40
2295761,36,1,2.86,2.86
2302049,20,2,9.90,19.80
2303007,4,2,3.41,6.82
2303007,7,1,1.92,1.92
2306071,8,3,3.30,9.90
2306071,17,5,3.71,18.55
2306071,18,3,9.45,28.35
2306071,27,4,8.49,33.96
2310304,9,5,1.13,5.65
2310304,36,1,2.86,2.86
2317660,24,1,6.00,6.00
2328863,32,1,3.05,3.05
2338306,14,5,8.60,43.00
2340921,12,1,6.64,6.64
2340921,20,5,9.90,49.50
2340921,33,1,2.00,2.00
2340921,34,1,5.51,5.51
2389320,3,3,4.42,13.26
2389320,27,5,8.49,42.45
2389320,34,2,5.51,11.02
2393946,11,4,7.45,29.80
2393946,24,2,6.00,12.00
2398466,12,5,6.64,33.20
2398466,17,2,3.71,7.42
2411206,3,2,4.42,8.84
2411206,15,4,5.78,23.12
2411206,22,5,0.94,4.70
2413395,19,5,8.89,44.45
2419752,19,5,8.89,44.45
2419752,28,4,7.37,29.48
2427499,1,3,6.83,20.49
2427499,24,4,6.00,24.00
2427499,31,4,6.62,26.48
2436167,1,4,6.83,27.32
2436167,14,1,8.60,8.60
2436167,24,3,6.00,18.00
2436167,29,1,1.31,1.31
2443711,2,0,0.94,0.00
2443711,31,5,6.62,33.10
2443711,34,1,5.51,5.51
2443711,35,5,5.48,27.40
2450917,7,2,1.92,3.84
2450917,8,3,3.30,9.90
2450917,13,2,5.80,11.60
2450917,32,1,3.05,3.05
2455761,22,4,0.94,3.76
2468845,2,4,0.94,3.76
2468845,3,4,4.42,17.68
2468845,15,5,5.78,28.90
2468845,36,3,2.86,8.58
2477115,10,5,9.07,45.35
2477115,23,2,4.55,9.10
2477115,33,2,2.00,4.00
2488939,1,2,6.83,13.66
2488939,9,2,1.13,2.26
2488939,26,2,9.32,18.64
2488939,35,3,5.48,16.44
2502170,6,4,0.96,3.84
2502170,30,3,2.70,8.10
2512911,12,3,6.64,19.92
2512911,24,2,6.00,12.00
2512911,27,4,8.49,33.96
2522909,25,2,6.89,13.78
2534849,12,2,6.64,13.28
2534849,22,4,0.94,3.76
2534849,27,1,8.49,8.49
2534849,28,1,7.37,7.37
2538193,4,2,3.41,6.82
2538193,12,2,6.64,13.28
2538193,26,1,9.32,9.32
2538193,32,4,3.05,12.20
2544404,22,5,0.94,4.70
2544404,28,4,7.37,29.48
2544404,33,3,2.00,6.00
2544404,35,1,5.48,5.48
2548583,11,1,7.45,7.45
2548583,26,1,9.32,9.32
2548583,34,5,5.51,27.55
2574032,8,5,3.30,16.50
2574032,10,5,9.07,45.35
2574634,7,1,1.92,1.92
2574634,21,3,4.46,13.38
2585860,19,1,8.89,8.89
2592907,7,4,1.92,7.68
2592907,18,1,9.45,9.45
2592907,22,5,0.94,4.70
2592907,24,1,6.00,6.00
2592907,34,5,5.51,27.55
2597674,5,1,1.92,1.92
2597674,12,5,6.64,33.20
2597674,19,3,8.89,26.67
2597674,29,5,1.31,6.55
2609315,15,3,5.78,17.34
2609315,19,4,8.89,35.56
2609315,20,1,9.90,9.90
2609315,36,5,2.86,14.30
2611578,9,1,1.13,1.13
2611578,16,1,5.68,5.68
2611578,20,1,9.90,9.90
2611578,36,4,2.86,11.44
2626045,23,2,4.55,9.10
2626045,30,1,2.70,2.70
2638813,8,4,3.30,13.20
2638813,21,2,4.46,8.92
2638813,25,2,6.89,13.78
2638813,35,1,5.48,5.48
2650103,26,3,9.32,27.96
2655950,9,4,1.13,4.52
2655950,14,1,8.60,8.60
2655950,19,2,8.89,17.78
2664037,25,2,6.89,13.78
2664037,29,1,1.31,1.31
2664468,7,5,1.92,9.60
2664468,10,2,9.07,18.14
2664468,17,1,3.71,3.71
2664468,18,2,9.45,18.90
2664468,26,4,9.32,37.28
2666893,2,4,0.94,3.76
2666893,10,2,9.07,18.14
2666893,20,3,9.90,29.70
2666893,21,5,4.46,22.30
2667635,17,5,3.71,18.55
2669359,14,4,8.60,34.40
2671318,2,1,0.94,0.94
2671318,4,3,3.41,10.23
2671318,25,2,6.89,13.78
2671318,31,1,6.62,6.62
2679221,12,3,6.64,19.92
2679221,15,2,5.78,11.56
2679221,17,3,3.71,11.13
2679921,1,4,6.83,27.32
2679921,7,3,1.92,5.76
2679921,8,2,3.30,6.60
2679921,28,5,7.37,36.85
2683379,3,4,4.42,17.68
2683379,7,5,1.92,9.60
2683379,28,2,7.37,14.74
2683379,31,5,6.62,33.10
2683379,36,1,2.86,2.86
2699451,13,4,5.80,23.20
2699451,22,2,0.94,1.88
2699451,32,5,3.05,15.25
2707353,6,3,0.96,2.88
2707353,9,3,1.13,3.39
2707353,18,4,9.45,37.80
2707353,30,4,2.70,10.80
2715612,1,4,6.83,27.32
2718448,3,5,4.42,22.10
2718448,11,1,7.45,7.45
2718448,21,2,4.46,8.92
2718448,22,5,0.94,4.70
2718448,25,3,6.89,20.67
2777903,12,2,6.64,13.28
2777903,14,3,8.60,25.80
2777903,19,3,8.89,26.67
2777903,21,1,4.46,4.46
2788270,15,4,5.78,23.12
2788270,17,2,3.71,7.42
2788270,21,4,4.46,17.84
2788270,28,3,7.37,22.11
2803866,4,3,3.41,10.23
2803866,10,4,9.07,36.28
2803866,14,2,8.60,17.20
2807931,6,5,0.96,4.80
2807931,23,3,4.55,13.65
2807931,26,3,9.32,27.96
2807931,31,5,6.62,33.10
2810367,18,2,9.45,18.90
2819049,1,2,6.83,13.66
2819049,6,5,0.96,4.80
2866169,11,3,7.45,22.35
2922649,15,5,5.78,28.90
2922649,32,4,3.05,12.20
2922649,35,2,5.48,10.96
2931593,17,2,3.71,7.42
2931593,19,4,8.89,35.56
2931593,24,3,6.00,18.00
2937738,9,2,1.13,2.26
2937738,25,2,6.89,13.78
2940354,6,1,0.96,0.96
2940354,7,2,1.92,3.84
2940354,19,2,8.89,17.78
2941539,7,3,1.92,5.76
2941539,19,4,8.89,35.56
2941539,34,5,5.51,27.55
2947440,4,4,3.41,13.64
2948199,18,5,9.45,47.25
2948199,26,5,9.32,46.60
2948199,28,3,7.37,22.11
2948199,33,5,2.00,10.00
2950425,31,4,6.62,26.48
2956599,5,3,1.92,5.76
2956599,25,4,6.89,27.56
3007888,10,3,9.07,27.21
3007888,24,1,6.00,6.00
3007888,26,3,9.32,27.96
3007888,30,4,2.70,10.80
3007888,35,3,5.48,16.44
3024425,4,1,3.41,3.41
3024425,5,5,1.92,9.60
3024425,10,2,9.07,18.14
3024425,13,2,5.80,11.60
3024425,15,3,5.78,17.34
3030927,5,1,1.92,1.92
3030927,11,3,7.45,22.35
3035748,18,2,9.45,18.90
3037964,12,2,6.64,13.28
3037964,19,1,8.89,8.89
3037964,29,5,1.31,6.55
3037964,33,2,2.00,4.00
3037964,36,1,2.86,2.86
3038045,22,5,0.94,4.70
3060953,27,4,8.49,33.96
3073831,31,3,6.62,19.86
3079210,24,2,6.00,12.00
3111428,14,4,8.60,34.40
3111428,28,5,7.37,36.85
3131837,2,4,0.94,3.76
3131837,14,5,8.60,43.00
3131837,26,3,9.32,27.96
3131837,29,3,1.31,3.93
3131837,32,2,3.05,6.10
3134166,18,2,9.45,18.90
3139625,2,2,0.94,1.88
3139625,5,2,1.92,3.84
3139625,18,5,9.45,47.25
3139625,24,3,6.00,18.00
3139625,33,4,2.00,8.00
3153156,3,1,4.42,4.42
3153156,21,1,4.46,4.46
3153156,25,3,6.89,20.67
3153156,26,5,9.32,46.60
3160278,4,4,3.41,13.64
3160278,8,2,3.30,6.60
3167851,14,3,8.60,25.80
3167851,25,2,6.89,13.78
3168832,13,2,5.80,11.60
3169089,3,1,4.42,4.42
3169089,11,5,7.45,37.25
3169089,29,1,1.31,1.31
3169089,31,4,6.62,26.48
3186789,2,1,0.94,0.94
3186789,19,1,8.89,8.89
3186789,27,2,8.49,16.98
3186789,30,2,2.70,5.40
3196193,2,4,0.94,3.76
3196193,29,4,1.31,5.24
3199554,8,5,3.30,16.50
3199554,36,2,2.86,5.72
3206443,4,4,3.41,13.64
3206443,14,1,8.60,8.60
3206479,7,1,1.92,1.92
3212238,28,1,7.37,7.37
3217707,6,4,0.96,3.84
3217707,8,2,3.30,6.60
3217707,11,4,7.45,29.80
3217707,36,3,2.86,8.58
3228450,28,5,7.37,36.85
3231448,28,1,7.37,7.37
3243263,26,2,9.32,18.64
3250599,9,1,1.13,1.13
3250599,10,5,9.07,45.35
3250599,16,4,5.68,22.72
3250599,32,1,3.05,3.05
3250599,36,4,2.86,11.44
